date,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,sum_p,sum_n
2015-09-07,oil97,50,50,56500,9187,56500,23426.5,2825000,1226950
2015-09-08,oil93,275,275,50500,8189,50500,18198.0,13887500,4951059
2015-09-08,oil97,47,47,56500,9187,56500,25264.0,2655500,1157052
2015-09-09,oil93,283,283,50500,1838,50500,18198.0,14291500,5164691
2015-09-09,oil97,46,46,56500,9187,56500,21371.0,2599000,1075450
2015-09-10,oil93,254,254,50500,2525,50500,18198.0,12827000,4493220
2015-09-10,oil97,53,53,56500,13780,56500,24805.0,2994500,1288345
2015-09-11,oil93,193,193,50500,4550,50500,18198.0,9746500,3566987
2015-09-11,oil97,49,49,56500,9187,56500,23886.0,2768500,1208657
2015-09-12,oil93,248,248,50500,4550,50500,18198.0,12524000,4515659
2015-09-12,oil97,48,48,56500,9187,56500,18374.0,2712000,1115835
2015-09-13,oil93,205,205,50500,3813,50500,18198.0,10352500,3726222
2015-09-13,oil97,37,37,56500,9187,56500,25724.0,2090500,929452
2015-09-14,oil93,279,279,50500,2730,50500,18198.0,14089500,5211202
2015-09-14,oil97,64,64,56500,4593,56500,23197.0,3616000,1541970
2015-09-15,oil93,271,271,50500,8644,50500,18198.0,13685500,5004010
2015-09-15,oil97,54,54,56500,12127,56500,26872.0,3051000,1376024
2015-09-16,oil93,308,308,50500,3030,50500,18198.0,15554000,5575566
2015-09-16,oil97,55,55,56500,13780,56500,22967.0,3107500,1339965
2015-09-17,oil93,278,278,50500,8644,50500,18198.0,14055500,5116835
2015-09-17,oil97,55,55,56500,9187,56500,25724.0,3107500,1389145
2015-09-18,oil93,268,268,52000,4561,52000,18246.0,13936000,5066844
2015-09-18,oil97,56,56,58000,11968,58000,27619.0,3248000,1459904
2015-09-19,oil93,326,326,52000,1825,52000,18246.0,16952000,6007653
2015-09-19,oil97,69,69,58000,9206,58000,23016.0,4002000,1643294
2015-09-20,oil93,237,237,52000,4561,52000,18246.0,12324000,4515159
2015-09-20,oil97,46,46,58000,2762,58000,23015.5,2668000,1063704
2015-09-21,oil93,271,271,52000,1370,52000,18246.0,14092000,4881001
2015-09-21,oil97,60,60,58000,10127,58000,26698.5,3480000,1552203
2015-09-22,oil93,307,307,52000,4561,52000,18246.0,15964000,5659403
2015-09-22,oil97,67,67,58000,9206,58000,27619.0,3886000,1753136
2015-09-23,oil93,267,267,52000,4014,52000,18246.0,13884000,4948930
2015-09-23,oil97,64,64,58000,9206,58000,24857.0,3712000,1539304
2015-09-24,oil93,328,328,52000,4561,52000,18246.0,17056000,6112464
2015-09-24,oil97,74,74,58000,9206,58000,22555.5,4292000,1738348
2015-09-25,oil93,374,374,52000,2737,52000,18246.0,19448000,6924681
2015-09-25,oil97,77,77,58000,9206,58000,23016.0,4466000,1812515
2015-09-26,oil93,366,366,52000,2737,52000,18246.0,19032000,6701386
2015-09-26,oil97,56,56,58000,9206,58000,24857.5,3248000,1347476
2015-09-27,oil93,213,213,52000,1277,52000,18246.0,11076000,3767242
2015-09-27,oil97,44,44,58000,1657,58000,20990.5,2552000,994062
2015-09-28,oil93,322,322,52000,4561,52000,18246.0,16744000,5931260
2015-09-28,oil97,57,57,58000,15651,58000,27527.0,3306000,1495190
2015-09-29,oil93,273,273,52000,1013,52000,18246.0,14233500,5037810
2015-09-29,oil97,55,55,58000,9206,58000,23016.0,3194500,1307462
2015-09-30,oil93,181,181,53500,3754,53500,18421.0,9683500,3236909
2015-09-30,oil97,32,32,59500,10389,59500,27152.5,1904000,864197
2015-10-01,oil93,152,152,53500,2763,53500,18772.0,8132000,2754103
2015-10-01,oil97,27,27,59500,9444,59500,20778.0,1606500,597158
2015-10-02,oil93,105,105,53500,939,53500,18772.0,5617500,1964288
2015-10-02,oil97,33,33,59500,9286,59500,23611.0,1963500,817906
2015-10-03,oil93,94,94,53500,4693,53500,18772.0,5029000,1772338
2015-10-03,oil97,18,18,59500,6500,59500,23678.5,1071000,413397
2015-10-04,oil93,79,79,53500,4605,53500,18772.0,4226500,1494763
2015-10-04,oil97,12,12,59500,13222,59500,22577.0,714000,277105
2015-10-05,oil93,128,128,53500,3285,53500,18772.0,6848000,2304471
2015-10-05,oil97,18,18,59500,17000,59500,27861.0,1071000,500239
2015-10-06,oil93,182,182,53500,4693,53500,18772.0,9737000,3451917
2015-10-06,oil97,36,36,59500,9286,59500,28333.0,2142000,913542
2015-10-07,oil93,183,183,53500,7509,53500,18772.0,9790500,3506059
2015-10-07,oil97,36,36,59500,9444,59500,22991.5,2142000,830338
2015-10-08,oil93,268,268,53500,3754,53500,18772.0,14338000,5044109
2015-10-08,oil97,62,62,59500,9444,59500,24319.5,3689000,1530110
2015-10-09,oil93,279,279,53500,921,53500,18772.0,14926500,5315379
2015-10-09,oil97,61,61,59500,3436,59500,25097.0,3629500,1533828
2015-10-10,oil93,317,317,53500,1596,53500,18772.0,16959500,5674786
2015-10-10,oil97,64,64,59500,4722,59500,22430.5,3808000,1565959
2015-10-11,oil93,260,260,53500,4605,53500,18772.0,13910000,4673433
2015-10-11,oil97,42,42,59500,4722,59500,21273.5,2499000,997576
2015-10-12,oil93,330,330,53500,4693,53500,18772.0,17655000,6136510
2015-10-12,oil97,67,67,59500,4344,59500,23611.0,3986500,1567791
2015-10-13,oil93,316,316,53500,3754,53500,18772.0,16906000,5889224
2015-10-13,oil97,54,54,59500,14167,59500,20954.5,3213000,1281912
2015-10-14,oil93,305,305,53500,4605,53500,18772.0,16317500,5583258
2015-10-14,oil97,61,61,59500,1615,59500,26444.0,3629500,1535460
2015-10-15,oil93,270,270,53500,1501,53500,18772.0,14445000,5166905
2015-10-15,oil97,66,66,59500,8500,59500,24178.0,3927000,1621045
2015-10-16,oil93,303,303,53500,4605,53500,18772.0,16210500,5679231
2015-10-16,oil97,69,69,59500,9286,59500,23611.0,4105500,1668799
2015-10-17,oil93,297,297,53500,2211,53500,18772.0,15889500,5602625
2015-10-17,oil97,66,66,59500,9286,59500,23375.0,3927000,1634349
2015-10-18,oil93,279,279,53500,4605,53500,18772.0,14926500,5152836
2015-10-18,oil97,43,43,59500,4722,59500,23611.0,2558500,1060447
2015-10-19,oil93,333,333,53500,1081,53500,18772.0,17815500,6205988
2015-10-19,oil97,77,77,59500,14167,59500,22667.0,4581500,1863599
2015-10-20,oil93,343,343,53500,2346,53500,18772.0,18350500,6380521
2015-10-20,oil97,56,56,59500,4722,59500,25264.0,3332000,1388901
2015-10-21,oil93,330,330,53500,1943,53500,18772.0,17655000,6159231
2015-10-21,oil97,58,58,59500,14167,59500,23149.0,3451000,1424643
2015-10-22,oil93,340,340,53500,1596,53500,18772.0,18190000,6349834
2015-10-22,oil97,61,61,59500,6611,59500,23611.0,3629500,1452306
2015-10-23,oil93,314,314,54500,947,54500,19123.0,17113000,5896614
2015-10-23,oil97,65,65,60500,4802,60500,24008.0,3932500,1568653
2015-10-24,oil93,308,308,54500,4207,54500,19123.0,16786000,5992718
2015-10-24,oil97,52,52,60500,9524,60500,19206.0,3146000,1234153
2015-10-25,oil93,233,233,54500,4737,54500,19123.0,12698500,4320854
2015-10-25,oil97,50,50,60500,4802,60500,26190.5,3025000,1279291
2015-10-26,oil93,265,265,54500,6158,54500,19123.0,14442500,5139215
2015-10-26,oil97,64,64,60500,9603,60500,22087.5,3872000,1586635
2015-10-27,oil93,308,308,54500,947,54500,19123.0,16786000,5860726
2015-10-27,oil97,58,58,60500,9524,60500,23909.0,3509000,1471206
2015-10-28,oil93,299,299,54500,4737,54500,19123.0,16295500,5838365
2015-10-28,oil97,57,57,60500,6722,60500,28041.0,3448500,1448840
2015-10-29,oil93,284,284,54500,3825,54500,19123.0,15478000,5330103
2015-10-29,oil97,61,61,60500,9411,60500,19206.0,3690500,1388076
2015-10-30,oil93,314,314,54500,2868,54500,19123.0,17113000,6051374
2015-10-30,oil97,60,60,60500,9603,60500,24008.0,3630000,1499244
2015-10-31,oil93,318,318,54500,6119,54500,19123.0,17331000,6244108
2015-10-31,oil97,57,57,60500,9603,60500,23810.0,3448500,1394923
2015-11-01,oil93,279,279,54500,7579,54500,19123.0,15205500,5336153
2015-11-01,oil97,61,61,60500,1440,60500,19206.0,3690500,1437641
2015-11-02,oil93,329,329,54500,4737,54500,19123.0,17930500,6363810
